date,ticker,period,metric,value_억원,label,source
2026-07-27,APR,2026/12(E),revenue,29443,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-27,APR,2026/12(E),op_profit_reported,7313,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-27,APR,2026/06(E),revenue,7310,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-27,APR,2026/06(E),op_profit_reported,1781,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-27,VM,2026/12(E),revenue,3159,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-27,VM,2026/12(E),op_profit_reported,958,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-27,VM,2026/06(E),revenue,950,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-27,VM,2026/06(E),op_profit_reported,302,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-30,APR,2026/12(E),revenue,29443,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-30,APR,2026/12(E),op_profit_reported,7313,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-30,APR,2026/06(E),revenue,7310,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
2026-07-30,APR,2026/06(E),op_profit_reported,1781,추정,FnGuide 컴퍼니가이드 컨센서스(집계)
